gas,ks_source,Tc_K,form,a0,a1,a2,b0,b1,mae_ks,max_ks_err,mae_x_pct,max_x_pct,within_5pct,n_points
CO2,duan2003,304.2,A: linear-m (kij-err),-0.89009626,1.02268825,-0.3216637948,,,0.634203,3.166736,621.9930,8962.4032,0.0,192
CO2,duan2003,304.2,B: quad-m (kij-err),-0.99807532,0.52477729,,0.19266044,-0.09975099,0.875056,3.166736,775.2209,7382.3410,0.0,192
CO2,duan2003,304.2,C: linear-m (ks-err),0.03902789,-0.06415818,0.0340988504,,,0.006454,0.021811,3.0171,18.1993,85.9,192
CO2,duan2003,304.2,D: linear-m (x-err),0.03855386,-0.06165495,0.0317951555,,,0.007994,0.018961,3.1418,16.0240,87.0,192
CO2,duan2003,304.2,S&W original,,,,,,0.025649,0.074003,15.6110,51.7204,17.7,192
H2S,akinfiev,373.2,A: linear-m (kij-err),0.74961774,-1.71075717,0.8073208630,,,0.876777,3.475803,247.8402,6063.8640,0.0,224
H2S,akinfiev,373.2,B: quad-m (kij-err),-0.26669868,-0.11536673,,0.03727573,0.01444740,0.958602,3.475803,281.3337,5194.5540,0.0,224
H2S,akinfiev,373.2,C: linear-m (ks-err),0.04484738,-0.08697645,0.0477195455,,,0.002656,0.008441,1.7141,10.1959,94.2,224
H2S,akinfiev,373.2,D: linear-m (x-err),0.04545210,-0.08810831,0.0484166747,,,0.002899,0.009993,1.6644,8.6744,92.0,224
CH4,sw_eq8,190.6,A: linear-m (kij-err),-0.72176392,0.78959378,-0.2042753757,,,0.031543,0.072671,26.0820,172.9146,30.2,192
CH4,sw_eq8,190.6,B: quad-m (kij-err),0.15613160,-0.08359615,,-0.03297584,0.02106375,0.057008,0.179088,27.8903,86.1264,7.8,192
CH4,sw_eq8,190.6,C: linear-m (ks-err),0.13658926,-0.13739390,0.0436936030,,,0.001139,0.003011,0.6970,3.5145,100.0,192
CH4,sw_eq8,190.6,D: linear-m (x-err),0.13827215,-0.13918673,0.0441971915,,,0.001152,0.003493,0.6815,2.8581,100.0,192
CH4,sw_eq8,190.6,S&W original,,,,,,0.006395,0.017637,5.0788,28.1106,63.5,192
N2,sw_eq8,126.1,A: linear-m (kij-err),0.23079372,-0.15846611,0.0327689245,,,0.001077,0.003635,0.6732,2.7283,100.0,192
N2,sw_eq8,126.1,B: quad-m (kij-err),-0.03329574,0.02882811,,-0.00004134,0.00003073,0.006293,0.014004,4.2212,20.7954,68.8,192
N2,sw_eq8,126.1,C: linear-m (ks-err),0.22416371,-0.15372196,0.0319191153,,,0.001108,0.003115,0.7031,2.9453,100.0,192
N2,sw_eq8,126.1,S&W original,,,,,,0.019339,0.057438,13.4571,72.8927,34.9,192
N2,sw_eq8,126.1,D: linear-m (x-err) [REC],0.22566271,-0.15479073,0.0321202077,,,0.001066,0.003421,0.6682,2.7436,100.0,192
H2,sw_eq8,33.145,Paper 1 (ks-err),0.38330000,-0.06595000,0.0033210000,,,0.000343,0.000945,0.2177,1.0491,100.0,192
C2H6,sw_eq8,305.4,A: linear-m (kij-err),-0.05037310,0.10358299,-0.0335763949,,,0.009232,0.026722,6.6512,44.6539,62.0,192
C2H6,sw_eq8,305.4,B: quad-m (kij-err),0.08982909,-0.06773991,,-0.01978003,0.01935660,0.043012,0.154588,20.1980,70.3726,20.8,192
C2H6,sw_eq8,305.4,C: linear-m (ks-err),0.07713739,-0.12284010,0.0662695415,,,0.000919,0.003223,0.5801,4.1046,100.0,192
C2H6,sw_eq8,305.4,D: linear-m (x-err),0.07902208,-0.12608862,0.0677201291,,,0.001007,0.003987,0.5374,3.0557,100.0,192
C2H6,sw_eq8,305.4,S&W original,,,,,,0.012513,0.029086,15.9432,40.1499,6.2,192
C3H8,sw_eq8,369.8,A: linear-m (kij-err),0.06116352,-0.11777393,0.0780670814,,,0.000675,0.003094,0.3633,2.1767,100.0,192
C3H8,sw_eq8,369.8,B: quad-m (kij-err),-0.01167631,0.03399432,,-0.00007807,0.00010574,0.006509,0.013242,4.3839,20.0747,66.7,192
C3H8,sw_eq8,369.8,C: linear-m (ks-err),0.05947223,-0.11411617,0.0760639495,,,0.000579,0.002325,0.3773,3.2643,100.0,192
C3H8,sw_eq8,369.8,D: linear-m (x-err),0.06034391,-0.11605651,0.0771803831,,,0.000668,0.003000,0.3546,2.3064,100.0,192
C3H8,sw_eq8,369.8,S&W original,,,,,,0.017949,0.037451,20.0650,54.1857,6.2,192
nC4H10,sw_eq8,425.2,A: linear-m (kij-err),0.04914861,-0.10839746,0.0845503636,,,0.000537,0.002409,0.3048,1.6695,100.0,192
nC4H10,sw_eq8,425.2,B: quad-m (kij-err),-0.01051097,0.03458000,,-0.00006637,0.00009506,0.006764,0.013738,4.5587,20.8998,66.1,192
nC4H10,sw_eq8,425.2,C: linear-m (ks-err),0.04793049,-0.10532909,0.0826082242,,,0.000456,0.001865,0.3044,2.6095,100.0,192
nC4H10,sw_eq8,425.2,D: linear-m (x-err),0.04850043,-0.10683524,0.0836226001,,,0.000521,0.002314,0.2927,1.8008,100.0,192
nC4H10,sw_eq8,425.2,S&W original,,,,,,0.025282,0.048520,19.6058,95.4888,16.7,192
